CellID,sample,first_type,second_type,doublet_pair,nearest_first_type_distance,nearest_second_type_distance,first_type_supported,second_type_supported,both_types_supported,support_radius,contact_evidence,max_constituent_distance
PC1_cellid_000152206-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,28.8697105181395,12.3322116826671,TRUE,TRUE,TRUE,30,spatially_supported_contact,28.8697105181395
PC1_cellid_000152389-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,8.05779912185972,31.309401024534,TRUE,FALSE,FALSE,30,unsupported_mixture,31.309401024534
PC1_cellid_000152890-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.99460124623963,16.6336291740151,TRUE,TRUE,TRUE,30,spatially_supported_contact,16.6336291740151
PC1_cellid_000152982-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.48431088296051,8.54630429655354,TRUE,TRUE,TRUE,30,spatially_supported_contact,8.54630429655354
PC1_cellid_000153104-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.21757981020127,17.1201354764302,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.1201354764302
PC1_cellid_000153170-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.52391937025699,21.2040855920219,TRUE,TRUE,TRUE,30,spatially_supported_contact,21.2040855920219
PC1_cellid_000153239-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,7.81885191761959,18.6008494887676,TRUE,TRUE,TRUE,30,spatially_supported_contact,18.6008494887676
PC1_cellid_000153307-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,17.4814386842735,22.187861355703,TRUE,TRUE,TRUE,30,spatially_supported_contact,22.187861355703
PC1_cellid_000153322-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,6.99225307882531,14.99507686795,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.99507686795
PC1_cellid_000153405-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.85334357935804,25.2954172227299,TRUE,TRUE,TRUE,30,spatially_supported_contact,25.2954172227299
PC1_cellid_000153624-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,7.61467368276374,9.49009403616328,TRUE,TRUE,TRUE,30,spatially_supported_contact,9.49009403616328
PC1_cellid_000153776-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,18.3880589950536,23.2266852307468,TRUE,TRUE,TRUE,30,spatially_supported_contact,23.2266852307468
PC1_cellid_000153831-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.53677667266183,22.2096087369035,TRUE,TRUE,TRUE,30,spatially_supported_contact,22.2096087369035
PC1_cellid_000153841-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,6.32527466735986,8.24003630985829,TRUE,TRUE,TRUE,30,spatially_supported_contact,8.24003630985829
PC1_cellid_000154013-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,11.1628909253843,7.01934975869413,TRUE,TRUE,TRUE,30,spatially_supported_contact,11.1628909253843
PC1_cellid_000154124-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,8.05639818585818,7.81031909278014,TRUE,TRUE,TRUE,30,spatially_supported_contact,8.05639818585818
PC1_cellid_000154242-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.60738363339532,22.4612213874718,TRUE,TRUE,TRUE,30,spatially_supported_contact,22.4612213874718
PC1_cellid_000154316-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,9.20602110717746,8.59613966824439,TRUE,TRUE,TRUE,30,spatially_supported_contact,9.20602110717746
PC1_cellid_000154329-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,15.0367151027229,20.3894404764693,TRUE,TRUE,TRUE,30,spatially_supported_contact,20.3894404764693
